script,capabilities,cap_count
_packages/IFLS_Workbench_FULL.lua,"Chains/Presets/Wizard, FX Inventory/Param Catalog, MIDI Routing/Setup, MIDI SysEx, Patchbay/Routing Engine, Pedal Profiles/Controls, QA/Doctor/Validation, Slicing/Sampler, Synth Modules FB01, Synth Modules PSS580, Toolbar/Menu/Installer",11
Tools/IFLS_Workbench_Chain_Builder_Wizard.lua,"Chains/Presets/Wizard, MIDI CC/PC/Notes, MIDI Routing/Setup, Patchbay/Routing Engine, Pedal Profiles/Controls, Slicing/Sampler",6
Tools/IFLS_Workbench_Doctor_v2.lua,"Chains/Presets/Wizard, MIDI SysEx, Patchbay/Routing Engine, QA/Doctor/Validation, Synth Modules FB01, Synth Modules PSS580",6
Tools/IFLS_Workbench_Doctor.lua,"MIDI Routing/Setup, MIDI SysEx, Patchbay/Routing Engine, Pedal Profiles/Controls, QA/Doctor/Validation",5
Tools/IFLS_Workbench_Validate_Data_JSON.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, QA/Doctor/Validation, Synth Modules FB01",5
Tools/JSFX/IFLS_Workbench_Menu_JSFX_DSP_Tools.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, Pedal Profiles/Controls, Slicing/Sampler",5
Workbench/FB01/Pack_v2/Scripts/IFLS_FB01_Create_8Part_Rack_1824c.lua,"Chains/Presets/Wizard, MIDI CC/PC/Notes, MIDI Routing/Setup, MIDI SysEx, Synth Modules FB01",5
Workbench/FB01/Pack_v5/Scripts/IFLS_FB01_VoiceMacro_GUI.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, MIDI SysEx, Pedal Profiles/Controls, Synth Modules FB01",5
Workbench/FB01/Pack_v7/Scripts/IFLS_FB01_VoiceMacro_GUI.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, MIDI SysEx, Pedal Profiles/Controls, Synth Modules FB01",5
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_PolyWAV_Toolbox.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler, Toolbar/Menu/Installer",5
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Slicing_Control_Panel_ReaImGui.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler, Toolbar/Menu/Installer",5
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/JSFX/IFLS_Workbench_Menu_JSFX_DSP_Tools.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",5
IFLS_Workbench_Install_Toolbar.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
IFLS_Workbench_PolyWAV_Toolbox.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler",4
IFLS_Workbench_Toolbar_Generate_ReaperMenu.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
PSS580/IFLS_PSS580_ImportSYX_UpdateManifest.lua,"Chains/Presets/Wizard, MIDI CC/PC/Notes, MIDI SysEx, Synth Modules PSS580",4
PSS580/IFLS_PSS580_Lib.lua,"MIDI Routing/Setup, MIDI SysEx, Patchbay/Routing Engine, Synth Modules PSS580",4
Tools/Diagnostics/IFLS_Workbench_Cleanup_Duplicate_Workbench_Scripts.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Tools/Diagnostics/IFLS_Workbench_Diagnostics.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine, Slicing/Sampler, Toolbar/Menu/Installer",4
Tools/Diagnostics/IFLS_Workbench_InstallDoctor_Fix_Nested_Folders.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
Tools/IFLSWB_Generate_IFLSWB_Toolbar_ReaperMenu_v3.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Tools/IFLS_Export_FX_ParamCatalog_NoMidiCC_Toggles_VST3Preferred.lua,"FX Inventory/Param Catalog, MIDI CC/PC/Notes, MIDI Routing/Setup, Patchbay/Routing Engine",4
Tools/IFLS_Workbench_Gear_And_Patchbay_View.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, Pedal Profiles/Controls",4
Tools/IFLS_Workbench_Slicing_Control_Panel_ReaImGui.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, QA/Doctor/Validation, Slicing/Sampler",4
Tools/SamplePack/IFLSWB_AutoSplit_MixedContent.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine, Slicing/Sampler",4
Workbench/FB01/Pack_v2/Scripts/IFLS_FB01_CC_MixPanel.lua,"MIDI CC/PC/Notes, MIDI Routing/Setup, Pedal Profiles/Controls, Synth Modules FB01",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Explode_Fieldrec.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Pedal Profiles/Controls, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Install_Toolbar.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Toolbar_Generate_ReaperMenu.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLSWB_Fieldrec_SmartSlicer_Core.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_Cleanup_Duplicate_Workbench_Scripts.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_Diagnostics.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_InstallDoctor_Fix_Nested_Folders.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, QA/Doctor/Validation, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLSWB_Generate_IFLSWB_Toolbar_ReaperMenu_v3.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",4
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/SamplePack/IFLSWB_AutoSplit_MixedContent.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Slicing/Sampler, Toolbar/Menu/Installer",4
Engine/IFLS_Patchbay_RoutingEngine.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine",3
IFLS_Workbench_Explode_Fieldrec.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Pedal Profiles/Controls",3
Slicing/IFLSWB_Fieldrec_SmartSlicer_Core.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Slicing/Sampler",3
Slicing/IFLS_Workbench_Fieldrec_SmartSlice_HQ_Toggle.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Tools/Diagnostics/IFLS_Workbench_Fix_Misinstalled_Nested_Folders.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Toolbar/Menu/Installer",3
Tools/IFLSWB_Create_Fieldrec_IDM_Template.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine, Slicing/Sampler",3
Tools/IFLSWB_Generate_Fieldrec_SmartSlicer_Toolbar_ReaperMenu.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Tools/IFLSWB_Generate_IFLSWB_Toolbar_ReaperMenu_v2.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Tools/IFLSWB_SmartSlicer_Store_CommandIDs_Helper.lua,"Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",3
Tools/IFLS_Workbench_Dump_All_FX_Params_EnumInstalledFX_PreferVST3_StrongMatch_Resume_CSV_NDJSON.lua,"FX Inventory/Param Catalog, Patchbay/Routing Engine, Pedal Profiles/Controls",3
Tools/IFLS_Workbench_Dump_All_FX_Params_EnumInstalledFX_Resume_CSV_NDJSON.lua,"FX Inventory/Param Catalog, Patchbay/Routing Engine, Toolbar/Menu/Installer",3
Tools/IFLS_Workbench_External_Insert_Wizard.lua,"Chains/Presets/Wizard, MIDI Routing/Setup, Patchbay/Routing Engine",3
Tools/IFLS_Workbench_Reamp_Print_Toggle_From_FXBus.lua,"MIDI Routing/Setup, Patchbay/Routing Engine, Toolbar/Menu/Installer",3
Tools/IFLS_Workbench_Select_Items_On_IFLS_Slices_Tracks.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine, Slicing/Sampler",3
Tools/IFLS_Workbench_SelfTest.lua,"MIDI Routing/Setup, Patchbay/Routing Engine, QA/Doctor/Validation",3
Tools/IFLS_Workbench_Settings.lua,"Patchbay/Routing Engine, Pedal Profiles/Controls, QA/Doctor/Validation",3
Tools/JSFX/IFLS_Workbench_Menu_JSFX_All.lua,"Patchbay/Routing Engine, Pedal Profiles/Controls, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_Apply_MicFX_ByTrackName_v2.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_HQ_Toggle.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_Hits.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_ModeMenu.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_Textures.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Menu_Slicing_Dropdown.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/Diagnostics/IFLS_Workbench_Fix_Misinstalled_Nested_Folders.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLSWB_Create_Fieldrec_IDM_Template.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLSWB_Generate_Fieldrec_SmartSlicer_Toolbar_ReaperMenu.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLSWB_Generate_IFLSWB_Toolbar_ReaperMenu_v2.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLSWB_SmartSlicer_Store_CommandIDs_Helper.lua,"Pedal Profiles/Controls, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Dump_All_FX_Params_EnumInstalledFX_PreferVST3_StrongMatch_Resume_CSV_NDJSON.lua,"FX Inventory/Param Catalog, Pedal Profiles/Controls, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Install_Assets_From_Data.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Select_Items_On_IFLS_Slices_Tracks.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Slicing_DroneChop_SelectedItems.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_SmartSlicing_Mode_Menu.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/SamplePack/IFLSWB_AutoSplit_Then_SmartSlice_AUTO.lua,"Chains/Presets/Wizard, Slicing/Sampler, Toolbar/Menu/Installer",3
Engine/IFLS_SafeApply.lua,"MIDI Routing/Setup, Patchbay/Routing Engine",2
IFLS_Workbench_Apply_MicFX_ByTrackName_v2.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls",2
Slicing/IFLS_Workbench_Fieldrec_SmartSlice_Hits.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Slicing/IFLS_Workbench_Fieldrec_SmartSlice_ModeMenu.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Slicing/IFLS_Workbench_Fieldrec_SmartSlice_Textures.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Slicing/IFLS_Workbench_Menu_Slicing_Dropdown.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Tools/IFLSWB_RS5K_Rack_From_SelectedItems.lua,"Patchbay/Routing Engine, Slicing/Sampler",2
Tools/IFLS_Workbench_HW_Conflict_View.lua,"MIDI Routing/Setup, Patchbay/Routing Engine",2
Tools/IFLS_Workbench_HW_Recall_Apply.lua,"MIDI Routing/Setup, Patchbay/Routing Engine",2
Tools/IFLS_Workbench_Install_Assets_From_Data.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Tools/IFLS_Workbench_Install_Toolbar_Icons.lua,"Pedal Profiles/Controls, Toolbar/Menu/Installer",2
Tools/IFLS_Workbench_Research_Queue.lua,"Chains/Presets/Wizard, Pedal Profiles/Controls",2
Tools/IFLS_Workbench_Slicing_DroneChop_SelectedItems.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Tools/IFLS_Workbench_SmartSlicing_Mode_Menu.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_drone_granular_texture.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine",2
Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_euclid_slicer_tempo_synced_euclidean_gate.lua,"Patchbay/Routing Engine, Slicing/Sampler",2
Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_idm_chopper_tempo_synced_gate.lua,"Chains/Presets/Wizard, Patchbay/Routing Engine",2
Tools/SamplePack/IFLSWB_AutoSplit_Then_SmartSlice_AUTO.lua,"Chains/Presets/Wizard, Slicing/Sampler",2
Workbench/ScriptsBundle/IFLS_SCRIPT_BUNDLE_ALL_REQUIRED_v1_3_4/TOOLS_IFLS_PREF_FORMAT_AND_WORKFLOW_PACK_v1_3_4/IFLS_Generate_FX_Folders_from_primary_category_v11_v1_3_4.lua,"Chains/Presets/Wizard, FX Inventory/Param Catalog",2
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/IFLS_Workbench_MicFX_Profile_GUI.lua,"Chains/Presets/Wizard, Toolbar/Menu/Installer",2
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/IFLS_Workbench_Install_Toolbar_Icons.lua,"Pedal Profiles/Controls, Toolbar/Menu/Installer",2
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_drone_granular_texture.lua,"Chains/Presets/Wizard, Toolbar/Menu/Installer",2
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_idm_chopper_tempo_synced_gate.lua,"Chains/Presets/Wizard, Toolbar/Menu/Installer",2
Workbench/ToolbarRepo/Scripts/IFLS_Workbench/Tools/JSFX/IFLS_Workbench_Menu_JSFX_All.lua,"Pedal Profiles/Controls, Toolbar/Menu/Installer",2
IFLS_Workbench_MicFX_Profile_GUI.lua,Chains/Presets/Wizard,1
Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_dynamic_meter_v1_peaknorm_out.lua,Patchbay/Routing Engine,1
Tools/JSFX/IFLS_Workbench_Insert_JSFX_ifls_workbench_reampsuite_analyzer_fft.lua,Patchbay/Routing Engine,1
Workbench/ScriptsBundle/IFLS_SCRIPT_BUNDLE_ALL_REQUIRED_v1_3_4/TOOLS_IFLS_PREF_FORMAT_AND_WORKFLOW_PACK_v1_3_4/IFLS_Create_FXChains_And_TrackTemplates_v1_0.lua,Chains/Presets/Wizard,1
